Question,Answer,Category
أريد معرف +ه ادوي +ه أو اطعم +ه ل+ تقوي +ه ال+ نظر ال+ قصير . . ؟,اهل +ا و+ سهل +ا : هذه ال+ اأطعم +ة . صفار ال+ بيض - ال+ سبانخ و+ ال+ خضرو +ات ال+ ورقي +ة - ال+ سلم +ون و+ ال+ اسماك - ال+ جزر - اللوز - ال+ حمضي +ات و+ ال+ توت,امراض العيون
عند +ي الم في ال+ زور و+ الم ب+ ال+ صدر و+ كح +ه خفيف +ه و+ نبض سريع و+ ضيق تنفس خفيف هل هذه كرو +نا,قد تكون كرو +نا وجود الم ب+ ال+ حلق مع ارتفاع ال+ حراره و+ ال+ أم ب+ ال+ جسم مع هذه ال+ إعراض يفضل ال+ قيام ب+ عمل مسح +ه ل+ ال+ تأكد,أمراض الجهاز التنفسي
أخ +ي يعاني من انسداد في ال+ شرايين و+ تم إعطائ +ه ادوي +ه ل+ ال+ شفاءو أصبح +ت حال +ت +ه مستقر +ه و+ فجا +ه رجع +ت حال +ت +ه و+ أصبح متعب +ا جد +ا ثم نقل +نا +ه إلى ال+ مستشفى واخبرونا شريان +ه قد تمزق هل يوجد علاج . .,إذا كان قد حصل تمزق ف+ علاج +ه يكون جراحي +ا وفق حجم و+ مكان ال+ تمزق وحد +ت +ه,جراحة القلب والشرايين
ابني ف ال+ شهر ال+ تاسع انفصل +ت ال+ مشيمه و+ صار ل+ +ه اختناق ال+ حين يتنفس ب+ ال+ جهاز ال+ اصطناعي و+ هو ولد أسبوع كم فتر +ه يحتاج ل+ يتنفس ب+ دون اجهز +ه ؟ ؟,الله اعلم ! ال+ طبيب ال+ مشرف على حال +ت +ه في ال+ خداج هو ال+ اقدر على ال+ تقييم . سلام +ت +ه,صحة الطفل
هل يمكن ان ينتقل ال+ هربس بعد ان يخمد ؟,لا ينتقل ال+ هربس إلا عند ال+ فور +ة و+ ال+ نشاط . و+ لا ينتقل بعد أن يخمد ! !,الأمراض الجنسية
نتائج تحليل ال+ سائل ال+ منوي ل+ زوجي أظهر +ت ان نسب +ة ال+ حيوان +ات ال+ منوي +ة ال+ مشوه +ة 70 ٪ و ل+ هذا أجرى تحليل ال+ هرمون +ات و كان +ت ال+ نتائج طبيعي +ة و لكن فحص ال+ ايكو أظهر ان لدي +ه دوالي ال+ خصي +ة . .,يمكن ، و+ لكن ال+ علاج ال+ متعارف علي +ه و+ ال+ أكثر نجاع +ة في دوالي ال+ خصي +ة هو ال+ علاج ال+ جراحي . و+ دالي ال+ خصي +ة ترفع حرار +ة ال+ خصي +ة و+ تمنع تكون ال+ منوي +ات .,الصحة الجنسية
عندما أخد +ت حقن خرج دم كثير ، مكان حقن يألم ، مر +ت 17 ساع +ة و+ لم أستفد من +ها . هل يمكن أستفد من +ها من بعد ؟,تحتاج وقت حتى يظهر ال+ مفعول,الطب العام
طفل +ة عن +ها 4 و+ نصف سنةرغم قل +ة اكل +ها الان ال+ براز يخروج كبير وصلبماسبب شكر,يجب ال+ امثار من شرب ال+ ماء و تناول ال+ شورب +ات و ال+ خضار و ال+ فواكه ال+ مليئه ب+ ال+ الياف و ال+ سلط +ات و ال+ ابتعاد عن تناول ال+ نشوي +ات و ال+ خبز و+ ال+ اطعمه التي تسبب ال+ إمساك,أمراض الجهاز الهضمي
حامل ب+ ال+ شهر ال+ سابع و+ وزني 71 و طولي 155 هل أستطيع ان اتبع حمية الان ل+ كي لا ازيد فوق ال+ طبيعي ل نهاي +ة حمل +ي ؟ هل يضر ب+ ال+ جنين ؟ ب+ حيث ان لا . .,راجع +ي إخصائي تغذي +ة,أمراض نسائية
ما هى أسباب دق ال+ قلب ب+ سرع +ه كبير +ه عند ال+ انحناء أو ال+ قيام بأى مجهود قليل و+ يصاحب +ه ضيق في ال+ تنفس,لا نعرف ال+ عمر و+ لا ال+ تاريخ ال+ صحي مع ذلك لا يمكن تحديد ال+ سبب دون معرف +ة خصائص ال+ ألم و+ ال+ علام +ات ال+ سريري +ة ال+ مرافق +ة التي يكشف عن +ها ال+ فحص ال+ طبي ، ف+ هناك ال+ كثير من ال+ أسباب ال+ نفسي +ة و+ ال+ عضوي +ة,أمراض القلب و الشرايين
مرحب +ا دكتور هل اذ +ا كان غشاء هلالي ام حلقي هل طبيعي تكون فتح +ة إضافي +ة ب+ ال+ غشاء ام يعتبر غير طبيعي حيث أرى فتح +ة هلالي +ة يمين غشاء و+ أخرى صغير +ة ب+ ال+ وسط هل طبيعي . .,يختلف شكل ال+ غشاء من شخص ل+ آخر ، و+ لا يتأثر ال+ غشاء إلا ب+ دخول شيء في ال+ مهبل ! !,الصحة الجنسية
هل صحيح أن ال+ مولود لا يرى الا بعد فتر +ة من ال+ زمن ؟ و+ +كم هي ؟,ال+ مولد يرى منذ ال+ ولاده و+ لك لا يستطيع ان يميز ما يرى . غبار +ه عن خيال +ات . مع ال+ عمر تتحس رؤي +ت +ه و+ يصبح على سبع شهور يميز ال+ أم ال+ اب ال+ اخوان و+ ال+ اقارب أو ال+ مخالط +ين,أمراض الأطفال
ال+ سلام علي +كم . . اعاني من انتشار ال+ حبوب في وجه +ي . . عمري 20 و استخدم كريم جليسوليد ف+ هو يقلل من ال+ حبوب و اثار +ها ب+ شكل كبير و لكن +ه ليس حل +ا فعال +ا ل+ مدي . .,مشكل +ت +ك ال+ حقيقي +ة هي أن بشر +ة وجه +ك دهني +ة و حتى تتخلص من حب ال+ شباب ، هنالك كريم يستخدم ل+ إرجاع وجه +ك إلى حال +ت +ك ال+ طبيعي +ة بعيد +ا عن ال+ افراز +ات ال+ دهني +ة و+ يكسب بشر +ت +ك نضار +ة  +ة و+ أنوث +ة و+ يخفي آثار حب ال+ شباب و+ تمنع ظهور حب ال+ شباب مر +ة آخرى ، مع ضرور +ة ال+ امتناع عن بعض ال+ مأكول +ات خاص +ة ال+ بيض و+ ال+ سمك ، ال+ موز ، ال+ شيكولا و+ ال+ حلوي +ات و+ ال+ مكسر +ات . و+ تناول +ي مضاد حيوي مناسبلحب ال+ شباب,الأمراض الجلدية
أجري +ت تحليل ل+ انزيم +ات ال+ كبد TGO45 . 5 و 80 . 8 هل هي طبيعي +ة,علي +ك مراجع +ة طبيب ال+ كبد ( ال+ جهاز ال+ هضمي ),أمراض باطنية
هل ال+ احتفاظ ب+ حبوب منع ال+ حمل ملي +ان ل+ مد +ة 6 أشهر في ال+ ثلاج +ة على درج +ة 3 درج +ات يفقد +ها فعالي +ت +ها . . ؟,لا يفقد +ها طالما تاريخ +ها صالح +ة,أمراض نسائية
عمري 16 عام و+ امارس ال+ عادةالسريةاحيانا و+ لكن لم يحدث ان وصل +ت حد ال+ استمناء و+ لكن +ي أصل ل+ احساس ال+ نشوةدون من +ي و+ قم +ت ب+ إدخال اصبعي ب+ قو +ة أكثر من مرةولكن لم يسبق ان نزل دم هل فض ال+ غشاء ؟,أرجو توضيح مكان و+ طريق +ة ال+ ادخال . . تابع واتس اب . . ال+ قذف هو نهاي +ه ال+ اثاره و+ لابد من حدوث +ه . . ال+ ادخال ب+ قو +ة ام ب+ عمق ? ?,الصحة الجنسية
ال+ سلام علي +كم ، ، أنا أخو +كم من ال+ يمن عمل +ت فحص براز و+ طلع عند +ي جرثوم +ة ال+ معد +ة ، ، نرجو +ا شاكر +ين ل+ +كم كتاب +ة علاج +ها ل+ +نا ب+ ال+ تفصيل ، ،,ال+ هليكيور صباح و+ مساء ل+ مد +ه 14 يوم,أمراض الجهاز الهضمي
عمرى 21 لا أعمل ال+ عاده ال+ سريه ل+ ما اقذف أبد +ا احاول و+ لا أعرف ل+ اكن ال+ قض +ين ينتصب ل+ اكن لا اقذف و+ عمرى 21 وبستلحمى حوالى كل ثلاث أيام ل+ اكن لا أعرف ان أعمل . .,ما في مشكل +ة ، ال+ احتلام يؤدي ال+ وظيف +ة ، و+ ليس هناك حاج +ة ل+ ال+ استغناء . توكل على الله .,الصحة الجنسية
فوائد ال+ تين ال+ مجفف,1 غني ب+ ال+ ألياف ، مما يجعل +ه علاج فعال ل+ ال+ إمساك 2 مفيد ل+ صح +ة ال+ قلب ف+ هو غني ب+ ال+ بوتاسيوم 3 يعتبر غذاء مناسب ل+ ال+ مرضى ال+ ضغط 4 غني ب+ ال+ كالسيوم ف+ ال+ حص +ة ال+ نواحد +ة كفيل +ة ب+ تغطي +ة 6 . 5 % من ال+ احتياج ال+ يومي ال+ موصى ب+ +ه من ال+ كالسيوم . 5 ال+ تين غني ب+ مضاد +ات ال+ اكسد +ة و التي تساهم في تقليل خطر ال+ إصاب +ة ب+ أنواع معين +ة من ال+ سرطان +ات 6 . بديل مناسب ل+ ال+ حلوي +ات ل+ عدم احتوائ +ه على ال+ دهني +ات ال+ مشبع +ة و تلك ال+ مصنع +ة trans fatty acid مما يجعل +ه خيار +ا صحي +ا ل+ الذين يحاول +ون انقاص وزن +هم أو ل+ الذين يعان +ون من ارتفاع كوليسترول ال+ دم . ينصح مرضى ال+ سكري و ال+ كلى و ال+ أشخاص اللذين يعان +ون من زياد +ة ال+ وزن ب+ مراقب +ة ال+ كمي +ة ال+ متناول +ة من +ه ،,تغذية
مريض +ة أجر +ت عملي +ة انفصال شبكي +ة منذ 10 سنو +ات تستعمل قطر +ة liqifilm tears و+ لكن ال+ قطر +ة انفقدت ف+ ماذا يمكن ان تأخذ قطر +ات بديل +ة عن +ها ؟,ممكن استعمال اي قطر +ة ترطيب ل+ ال+ عين,امراض العيون
الم في ال+ معده و+ الم في ال+ منطق +ة تحت ال+ قفص ال+ صدري حسب معلوم +ات +ي قول +ون عصبي و+ عدم ال+ شعور ب+ ال+ جوع ل+ ايام عد +ه ماهذه ال+ عرض شكر +ا,ان ال+ جهاز ال+ هضمي هو من أكثر ال+ أعضاء في ال+ جسم تأثر +ا ب+ ال+ حال +ة ال+ عصبي +ة ل+ ال+ مريض . و ان عدم ال+ شعور ب+ ال+ جوع ل+ أيام عد +ة أيض +ا يكون أحيان +ا نتيج +ة ال+ توتر .,أمراض باطنية
خلع +ت ضرس و+ ظهر ب+ ال+ ضرس الذي يلي +ه ثقب صغير لون +ه داكن من ال+ جانب كان ال+ ثقب بين +هما ، بني +ة ال+ ضرس سليم +ة و+ أنا لا أشعر باي الم و+ عند إدخال عود ال+ أسنان لا يصل ل+ ال+ عصب . .,ا فضل زيار +ه طبيب ال+ أسنان ل+ ال+ كشف و الع ج ال+ مناسب حسب ال+ حاله,صحة الأسنان
ال+ سلام علي +كم سيدي عند بنت عند +ها عام +ين و+ نصف كثير +ة ال+ بكاء و+ خاص +ة ل+ ما ننزع ل+ +ها شيء من يد +ها يعني أشياء عادي +ة عمل +نا ل+ +ها EEG قال ل+ +نا ال+ طبيب عند +ها صرع كلي و+ أعطى . .,أهل +ا بحضرتك . . ال+ صرع تشخيص إكلينيكي ب+ ال+ أساس . . ف+ ما هو نوع نوب +ات ال+ صرع التي تصيب +ها ؟,صحة الطفل
ابن +ت +ي عمر +ها 12 سن +ة و+ هي في ال+ يوم ال+ عاشر من ال+ دور +ة ال+ شهري +ة و+ ال+ دم لون +ه أسود و+ يوجد وجع في ال+ بطن هل هذا طبيعي,طبيعي ل+ عمر +ها,أمراض نسائية
هل يمكن معرف +ة +ان +ك مارس +ت ال+ جنس من ال+ موج +ات فوق ال+ صوتي +ة ( ال+ ايكو ) ؟,لا صعب ال+ معرف +ة,أمراض نسائية
ال+ سلام علي +كم و+ رحم +ة الله تعالى و+ برك +ات +ه أنا مريض +ة سكري لدي طفل و+ أرغب في ال+ حمل الا ان ال+ كثير +ين يقول +ون أن أحتمال +ات تشوه ال+ جنين وارد و ب+ شكل كبير ف+ ما هي ال+ أخطار ال+ متوقع +ة . .,"لا اعتقد ان هناك احتمال +ات كبير +ة ل+ ال+ تشوه كما تقول +ين , ف+ هذا يعتمد على عوامل أخرى متعدد +ة , سواء كان ال+ حمل عند مريض +ة ال+ سكري ام ال+ حوامل ال+ اخري +ات , و لكن ربما يكون احتمال اصاب +ت +ه ب+ ال+ سكري في ال+ مستقبل أكبر عند أبناء ال+ أم ال+ حامل +ة ل+ ال+ مرض . كما +ان +ه يمكن اكتشاف معظم ال+ تشوه +ات خلال فتر +ة ال+ حمل من خلال متابع +ة ال+ حمل , و دائم +ا احرصي على ال+ حفاظ على معدل +ات طبيعي +ة ل+ ال+ سكر من خلال نظام غذائي صارم و ال+ علاج ال+ مناسب",مرض السكري
لا اتحمل ال+ مشي و+ يوجد ب+ +ها الم شديد,ال+ فحص ال+ سريري مهم علي +ك مراجع +ة طبيب إصاب +ات ال+ ملاعب ل+ إجراء ال+ لازم أو ل+ توجيه +ك ل+ ال+ تخصص ال+ معني,أمراض العضلات والعظام و المفاصل
الم حاد أسفل ال+ ضهر و+ ال+ مثان +ة علم +ا +ان +ي استعمل مانع حمل منذ 5 سنو +ات تقريب +ا و+ لدي طفل +ه واحد +ة و+ ال+ ألم بعد ال+ دور +ة ب+ يوم تقريب +ا ما ال+ سبب,هناك عد +ة أسباب مختلف +ة ل+ ال+ ألم أسفل ال+ ظهر و+ ال+ مثان +ة ، و+ ب+ شكل عام أنصحك ب+ مراجع +ة ال+ طبيب +ة ل+ إجراء ال+ فحوص +ات ال+ لازم +ة و+ ال+ كشف عن ال+ مشكل +ة و+ منع تطور مضاعف +ات صحي +ة . سوف أبين ل+ +ك فيما يأتي مجموع +ة ال+ أسباب ال+ محتمل +ة ل+ ألم أسفل ال+ ظهر و+ ال+ مثان +ة : التهاب ال+ مثان +ة . التهاب ال+ جهاز ال+ تناسلي ، مثل ال+ مبيض +ين ، أو ال+ رحم ، أو ال+ مهبل . حصى ال+ كلى أو ال+ مثان +ة . تكيس ال+ مبايض . التهاب ال+ حوض . ل+ ال+ مزيد : ما هي أسباب ألم ال+ ظهر ال+ مفاجئ و+ علاج +ه ؟ تعرف على أهم 5 مراهم ل+ علاج آلام أسفل ال+ ظهر,أمراض نسائية
أريد ان استفسر بعد انتهاء ال+ دوره ال+ شهريه ب 5 أيام أو أسبوع تقريب +ا نزوم دم أسود داكن هل طبيعي ماالسبب ؟,قد تكون هذه هى فتر +ة ال+ تبويض ل+ ديك ، و+ التى يعد نزول بعض قطر +ات ال+ دم في +ها شيئ +ا لا يدعو ل+ ال+ قلق . ينصح ب+ مراجع +ة طبيب +ة ال+ نساء أعمل سونار و+ تقييم ال+ حال +ة .,أمراض نسائية
هل يوجد إبر +ة شهري +ة ل+ ال+ إكتئاب ؟,لا يوجد,أمراض نفسية
عند +ي سخون +ه شديد +ه في ال+ دماغ و+ اضطراب +ات في ال+ رؤيه,علي +ك ب+ استشار +ة طبيب ال+ عيون,امراض العيون
هل اذ +ا شرب +ت كين +ة دوفاستون 10 أيام مباشر +ة راح تكون حيض أو ل+ ازمن +ي انتظر أيام أخرى,بعد ال+ توقف من ال+ حبوب غالب +ا من 3 الى 5 يوم تنزل ال+ دوره,أمراض نسائية
ال+ سلام علي +كم . متى أعرف جنس ال+ جنين ب+ وضوح,ب+ ال+ شهر ال+ رابع,الحمل والولادة
كيف أتخلص من ألم ال+ أدن,"في ال+ بداي +ة تجدر ال+ إشار +ة إلى أن هذا ال+ ألم قد يكون ناتج +ا عن أسباب عديد +ة ، نذكر بعض +ا من +ها فيما يا +ت +ي : - وجود التهاب في ال+ أذن ب+ سبب ال+ إصاب +ة ب+ عدوى في ال+ أذن أو ال+ جيوب ال+ أنفي +ة أو ال+ حلق أو ال+ أسنان . - تغير ال+ ضغط . - تراكم صمغ ال+ أذن . - و+ حود جسم غريب في ال+ أذن . - دخول ال+ ماء أو سوائل إلى ال+ أذن . عام +ة يفضل مراجع +ة ال+ طبيب ل+ معرف +ة ال+ سبب و+ تحديد ال+ علاج ال+ مناسب . و+ إذا كان سبب ال+ ألم عدوى بكتيري +ة ف+ يمكن ال+ لجوء ل+ أخذ ال+ مضاد +ات ال+ حيوي +ة أو ال+ مسكن +ات . إذا كان نتيج +ة تراكم ال+ صمغ ، س+ يصرف ال+ طبيب ال+ قطر +ات التي تساعد على ال+ تخلص من ال+ صمغ أو س+ يقوم ب+ تصريف +ه و+ من ال+ علاج +ات ال+ طبيعي +ة التي تساعد في تخفيف ألم ال+ أذن : - وضع كماد +ات بارد +ة عند ال+ أذن . - إبقاء ال+ أذن جاف +ة . - مضغ علك +ة . - ال+ جلوس ب+ استقام +ة ل+ تخفيف ال+ ضغط عن ال+ أذن . ال+ مراجعJanelle Martel . What is an earache ? . Retrieved on 24th march , 2020 , from : [رابط]",أنف، أذن وحنجرة
احس ب+ ألم شديد في أحد +ا رجل +ا +ي و+ أحيان +ا احداهمااحسه من اعصابي الم ل+ درج +ة ال+ تشنج أحيان +ا و+ يذهب ال+ ألم يمتد من أسفل ال+ عمود الى أسفل ال+ ساق و+ أحيان +ا أخرى ال+ قدم ماهي ال+ أسباب ؟ و+ ماهو ال+ حل ؟ و+ ال+ شكر . .,هو في ال+ غالب عرق ال+ نسا و+ هو ألم مترافق مع ال+ عصب ال+ وركي ، حيث يسير ال+ عصب من ال+ جزء ال+ سفلي ل+ ال+ نخاع ال+ شوكي إلى ال+ ظهر نزول +ا إلى ال+ ساق و+ ال+ قدم . و+ إصاب +ة ال+ عصب أو ال+ ضغط علي +ه يمكن أن يسبب ألم عرق ال+ نسا و+ هو ألم حارق حاد يمتد من أسفل ال+ ظهر إلى أسفل ال+ قدم اما ب+ ال+ نسب +ة ل+ ال+ علاج : يتركز ال+ علاج على تخفيف ال+ ألم و+ يبدأ ب+ مضاد +ات ال+ ألم مثل ال+ أسيتأمينوفين و+ ال+ أدوي +ة ال+ لاستيروئيدي +ة ال+ مضاد +ة ل+ ال+ إلتهاب مثل ال+ أسبرين ، و+ مرخي +ات ال+ عضل +ات . و+ يمكن استعمال ال+ مخدر +ات ال+ موضعي +ة و+ يمكن في ال+ حال +ات ال+ مزمن +ة استعمال ال+ مورفين ، كما ثبت وجود فوائد ل+ مضاد +ات ال+ اكتئاب . و+ قد أثبت ال+ تجرب +ة فعالي +ة فيتامين +ات 1 و 6 و 12 ك+ حقن ل+ تقوي +ة ال+ عصب ب+ ال+ إضاف +ة إلى ال+ أدوي +ة ال+ لاستيروئيدي +ة ال+ مضاد +ة ل+ ال+ إلتهاب في تخفيف ال+ ألم و+ سرع +ة ال+ شفاء .,فيزيولوجيا
سلم لدي أم +ي مريض +ة ب+ ال+ سكر و عند +ها كيس دموي في ال+ مببض تريد نزع ما هي نسب +ة نجاح ال+ عملي +ة و ما هي أحسن ب+ ال+ منظار أو عادي و شمر +ا,". حسب مكان و+ حجم ال+ كيس , اذ +ا كان حجم ال+ كيس ضمن ال+ إمكان . ب+ يفضل ال+ منظار",مرض السكري
توقف +ت ب+ شكل مفاجى عن دواء سيروكويل إكس ار و+ اعاني من أعراض مثل ال+ غثيان و+ ألقى و+ ال+ صداع و+ ال+ ارق ف+ هل هذا ال+ دواء يسبب اعتياد و+ ادمان أو ل+ +ه أعراض انسحاب خطير +ه,لايسبب ال+ إدمان و+ لابد من مراجع +ة طبيب +ك الذي وصف ال+ دواء و+ من ال+ خطأ ال+ توقف ب+ دون إشراف طبي,أمراض نفسية
أنا حضر +ت +ك عندى عملي +ة ال+ فتاق في ال+ خصي +ة ل+ انى شيل +ت حاج +ة تقيل +ة و+ أنا صغير عندى خصي +ة يمنى كبير +ة اوى و+ ال+ خصي +ة ال+ يسرى صغير +ة جد +ا و+ في ال+ صباح حجم +هم ب+ يقل أنا عاوز أعرف أنا . .,ال+ عمليه تعيد ال+ أمور الى ال+ طبيعي . . لا تقلق,أمراض المسالك البولية والتناسلية
مرحب +ا أنا فتا +ة عمري 17 عام و+ بعد 4 أشهر رح يصير عمري 18 عام و+ طولي 160 من يوم +ين بلشت اشرب حب ( زيت ال+ سمك ) و+ حب ( ال+ زنك ) مش +ان أطول ب+ رأي +ك ب+ لحق أطول . .,لاعلاقة ل+ زيت ال+ سمك و+ ل+ ال+ زنك ب+ زياد +ة ال+ طول . قيس +ي فيتامين د إذا كان ناقص +ا عالج +ي +ه,أمراض الغدد الصماء
ال+ سلام علي +كم أنا اعاني من بشر +ة حساس +ة جد +ا و+ دائم +ا يظهر حبوب حمر +ا في وجه +ي و+ ذلك من ال+ تعب ال+ نفسي علم +ا +ان +ي جرب +ت أكثر من ماسك و+ مع ذلك ازداد ال+ وضع مثل نشاء . .,ال+ حساسي +ة هي رد فعل ال+ جسم ضد أي ماد +ة داخل ال+ جسم تؤدي الى انفجار ال+ خلايا و+ خروج بعض ال+ مواد ال+ كيماوي +ة مثل ال+ هستامين و+ ال+ سيروتونين ف+ تحدث ال+ حك +ة أو ال+ شري +ة ، و+ أسباب +ها كثير +ة من +ها : تناول بعض ال+ مأكول +ات مثل ال+ بيض و+ ال+ حليب و+ ال+ سمك و+ ال+ شوكولاته و+ حتى ال+ لحم و+ ال+ قمح و+ غير +ها من ال+ أطعم +ة . . إلخ و+ كذلك تغير ال+ جو مثل ال+ سخون +ة أو ال+ برد و+ غير +ها . ، و+ يجب عدم إهمال احتمالي +ة ال+ إصاب +ة ب+ ال+ قلق و+ ال+ توتر أو ال+ تعب ال+ نفسي و+ ال+ إنفعال الذي يسبب ال+ حك +ة و+ ال+ هرش ، و+ أفضل وسيل +ة ل+ ال+ علاج هي ال+ وقاي +ة و+ تجنب ال+ تعرض ل+ ال+ مواد و+ ال+ حال +ات لتي تسبب ل+ +ك ال+ حساسي +ة و+ تبتعد عن +ها و+ لا يوجد علاج شافي ل+ +ها ف+ إذا حدث +ت يمكن +ك تناول مضاد ل+ ال+ هستامين قوي مثل بولارامين أو كلاري +ت +ين ، أو تيليفاست أو إينالليرج أوسيرين أواكزوفن أو زرياتين حب +ة واحد +ة يومي +ا ، و+ يمكن استخدام ال+ مراهم ال+ موضعي +ة في حال ما تكون ال+ حساسي +ة محدود +ة أو على ال+ بقع مثل : يوراكس و+ هو فعال و+ غير ستيريويدي أو مرهم لوكوويد أو بيتاميثازون أو بروتوبيك و+ هو من أحدث ال+ أدوي +ة ، و+ هناك سارنول ل+ وشن و+ هو ممتاز و+ سريع ال+ مفعول ، و+ كذلك كروتافيل ل+ وشن ، و+ يمكنك قبل موعد حدوث +ها ال+ بدأ ب+ تناول دواء يمنع حدوث +ها مثل كروموجليكات ال+ صوديوم و+ من أسمائ +ها ال+ تجاري +ة زاديتن أو توتينال أو كيتوتوفن و+ تستمر ب+ استعمال +ه طوال فتر +ة ال+ شتاء ، و+ اذ +ا ظهر +ت يجب ال+ توقف عن تناول +ه ل+ أن +ه لا يفيد في حال +ة حدوث ال+ حساسي +ة,البشرة والجمال
أنا فتا +ة عمري 26 سن +ة لم يسبق لي ال+ زواج لكن لدي ثدي أكبر من ال+ تاني هل هناك سبب معين ؟ و هل هناك حل من أجل تناسق ال+ ثدي +ين ؟,هذه ال+ فروق +ات طبيعي +ة تحدث . و+ لا يوجد حل ل+ +ها . ربما ال+ مساج ل+ ال+ صغير يفيد الى حد بسيط,أمراض نسائية
تعرض +ت ل+ ال+ تحرش ب+ عمر تسع +ه . و+ ذلك ب+ إدخال اصبع +ه في ال+ مهبل عمري الان 23 و أرفض ال+ زواج ل+ هذا ال+ سبب قم +ت ب+ ال+ كشف ب+ كاميرا ال+ جوال وجد +ت قب +ه اسفل +ها فتح +ه هل هذا طبيعي و+ ماهو . .,ال+ غالب أن +ه غشاء ال+ بكار +ة ، و+ أنصحك ب+ زيار +ة اختصاصي -  +ة نسائي +ة ل+ تطمين +ك ! !,الصحة الجنسية
أخذ +ت حقن +ه عضل مسكن و+ جلس +ت فتر +ه طويل +ه و+ بعد +ها بعد +ه أيام أشعر بالم شديد في ال+ مؤخره لا أستطيع ال+ جلوس علي +ها مع حرقان في ال+ جلد و+ لا أستطيع لمس +ه,قوم ب+ استخدام مسكن و مضاد حيوي موضعي ل+ مد +ه 3 أيام و+ اذ +ا لم يتحسن ال+ ألم أذهب ل+ اقرب طبيب يقوم ب+ فحص +ك ل+ استبعاد حدوث خراج أو التهاب ب+ مكان ال+ حقن,الطب العام
بدا مع +ي افراز +ات بني +ه بعد 40 يوم من ال+ ولاده و+ الآن أصبح دم داكن . . كم يستمر نزول هذا ال+ دم ؟ ؟,يفترض ان يتوقف في اي لحظ +ه,أمراض نسائية
هل هناك طريق +ه سريع +ه و+ مضمون +ه ل+ زياد +ه ال+ وزن ل+ امرا +ه عمر +ها 45 سن +ه,لقد تم ال+ إجاب +ة على هذا ال+ سؤال في مقال أخر . أرجو ال+ اطلاع على ال+ مقال .,تغذية
أنا +كن +ت أمارس ااجنس من ال+ دبر و توقف +ت عن ذلك منذ سن +ت +ين و الان سوف اتزوج هل يستطييع زوج +ي كشف انني +كن +ت أمارس ااجنس من ال+ دبر,ب+ ما +ان +ك توقف +ت ف+ هذا أمر جيد ليس ب+ ال+ ضروره ان يكتشف ذلك خاص +ه ان لم يكن عند +ه معرف +ه ب+ ال+ تكوين ال+ طبيعي ل+ فتر +ة ال+ شرج,الصحة الجنسية
أنا ركب +ت غرس +ه منع ال+ حمل من شهر +ين والي الان عند +ي ال+ دوره مستمر +ة هل هذا شيء عادي لأن +ي بدأ +ت اتعب من استمرار ال+ دوره الي الان و+ مافي بادر +ه أنا ب+ يتوقف,ال+ أفضل إزال +ت +ها .,أمراض نسائية
كيفي +ة علاج ال+ كح +ة ل+ طفل +ة ب+ عمر شهر +ين و+ نصف ؟,علاج ال+ كح +ة ب+ معرف +ة سبب +ها أول +ا لان في هذا ال+ عمر لا ينبغي اعتبار ال+ كح +ة مجرد عرض و+ لابد من سرع +ة عرض ال+ طفل علي طبيب ال+ أطفال ل+ ال+ تشخيص أول +ا و+ إعطاء ال+ علاج ال+ مناسب ثاني +ا و+ لا تستخدم أدوي +ة ل+ ال+ كح +ة في هذا ال+ عمر,أمراض الأطفال
مرحب +ا عند +ي مشكل +ه ارتفاع هرم +ون ال+ كورتزول و+ تصخم في الغد +ه ال+ كظري +ة في ال+ جه +ة ال+ يسرى هل احتاج الى علاج,لا شك في ذلك يجب مراجع +ة إخصائي ال+ غدد ال+ صم في بلد +ك,أمراض الغدد الصماء
ال+ تحليل ال+ قديم مكتوب في +ه Syphlls [رابط] 0 . 90 > negative 1 . 10 _ 0 . 90 0 . 10 > 1 . 10 < positive ال+ تحليل ال+ جديد بعد أكثر من 6 شهور Vdrl ( Kline ) negative Tpha = 0,اذ +ا +كن +ت تريد ال+ تأكد من وجود ال+ مرض من عدم +ه فأل +ي +ك اختبار +ين هما دائم +ا ل+ ال+ تأكيد و+ نتأج +هما دائم +ا ب+ غرض ال+ تأكد . . ال+ فحص ال+ اولDarkfield microscopic ecsmination و+ ال+ فحص ال+ ثاني . . اختبار مناعي خاص اسم +ه : - Microhemagglutination assay ( MHA - TP,أمراض باطنية
ماهوو يوم ل+ تحليل هرم +ون ال+ استروجين و+ ال+ بروجسترون ؟ و+ هل نقص ال+ هرمون +ات يسبب اكتئاب ؟,تحليل ال+ استروجين في ال+ يوم ال+ ثاني و يمكن في ال+ ثالث من نزول ال+ دور +ة ، البروجيستيرون في ال+ يوم 21 من ال+ دور +ة . ل+ ال+ اكتئاب أسباب عديد +ه ، من أهم +ها نقص هرم +ون ال+ سيروتونين,أمراض نسائية
ال+ تنظير ال+ رحمي مع أخذ عين +ه يؤثر على ال+ جنين في ال+ أسبوع ال+ رابع هل ينصح ب+ أجرا +ها هل يسبب ال+ خطر,و+ لماذا ال+ عين +ة ؟ هل يوجد مبرر ؟,أمراض نسائية
